date,block_id,distance_km,return_seconds,first_seconds,trip_count,class,hydrogen_kg,return_hour
2026-08-07,B31-44,27.693352433330915,32220,24900,5,LD,2.0770014324998187,8
2026-08-07,B31-45,43.85225503220376,30300,18300,8,LD,3.288919127415282,8
2026-08-07,B31-46,70.13412626247134,34200,17640,13,LD,5.26005946968535,9
2026-08-07,B31-47,93.69215874041429,67080,40140,17,LD,7.026911905531072,18
2026-08-07,B31-48,103.93775836806387,76320,47280,20,LD,7.79533187760479,21
2026-08-07,B31-49,97.66688610121007,77520,50520,18,LD,7.325016457590754,21
2026-08-07,B31-50,155.04018473633678,81000,43320,24,MD,13.95361662627031,22
2026-08-07,B31-51,99.72618472475595,67740,39240,18,LD,7.4794638543566965,18
2026-08-07,B31-52,49.40096417379149,91260,79860,9,LD,3.705072313034362,1
2026-08-07,B31-53,59.3832070296408,92580,80580,10,LD,4.45374052722306,1
2026-08-07,B31-54,27.208035590576987,88260,82200,5,LD,2.040602669293274,0
2026-08-07,B32-55,81.80164988608358,33060,16740,11,LD,6.135123741456268,9
2026-08-07,B32-56,89.3824551425745,35160,17160,12,LD,6.703684135693087,9
2026-08-07,B32-57,73.25144381400332,42540,24780,9,LD,5.493858286050249,11
2026-08-07,B32-58,39.10520139255024,35580,26460,5,LD,2.932890104441268,9
2026-08-07,B32-59,52.272032827778176,35820,23040,7,LD,3.920402462083363,9
2026-08-07,B32-60,74.48537928547876,32520,17580,10,LD,5.586403446410906,9
2026-08-07,B32-61,67.16910868487393,43440,27480,9,LD,5.0376831513655445,12
2026-08-07,B32-62,74.48537928547876,33180,18000,10,LD,5.586403446410906,9
2026-08-07,B32-63,44.69122757128725,33840,22200,6,LD,3.3518420678465435,9
2026-08-07,B32-64,74.48537928547876,32820,17220,10,LD,5.586403446410906,9
2026-08-07,B32-65,82.06618454196968,41640,22140,11,LD,6.154963840647725,11
2026-08-07,B32-66,73.31074436492757,70080,50460,11,LD,5.498305827369568,19
2026-08-07,B32-67,51.01453862876172,63120,48960,8,LD,3.8260903971571287,17
2026-08-07,B32-68,57.57267752758899,69660,51120,8,LD,4.3179508145691745,19
2026-08-07,B32-69,76.52180794314258,75660,55440,12,LD,5.739135595735693,21
2026-08-07,B32-70,62.43683691911459,70800,51060,8,LD,4.682762768933594,19
2026-08-07,B32-71,59.588303428383,68460,51600,8,LD,4.469122757128725,19
2026-08-07,B32-72,62.74692821597735,72060,55680,9,LD,4.706019616198301,20
2026-08-07,B32-73,52.426019831825045,74700,62040,8,LD,3.931951487386878,20
2026-08-07,B32-74,63.03621328911015,71100,53760,10,LD,4.727715996683261,19
2026-08-07,B32-75,74.48537928547876,72600,53220,10,LD,5.586403446410906,20
2026-08-07,B32-76,52.00749817189208,68280,54120,7,LD,3.9005623628919057,18
2026-08-07,B32-77,74.48537928547876,80100,64020,10,LD,5.586403446410906,22
2026-08-07,B32-78,52.00749817189208,76200,64680,7,LD,3.9005623628919057,21
2026-08-07,B32-79,52.426019831825045,81900,70980,8,LD,3.931951487386878,22
2026-08-07,B32-80,29.7941517141915,81720,76800,4,LD,2.2345613785643623,22
2026-08-07,B32-81,59.588303428383,90660,80400,8,LD,4.469122757128725,1
2026-08-07,B32-82,59.588303428383,91560,81300,8,LD,4.469122757128725,1
2026-08-07,B32-83,59.588303428383,92460,82200,8,LD,4.469122757128725,1
2026-08-07,B32-84,44.69122757128725,48060,37680,6,LD,3.3518420678465435,13
2026-08-07,B32-85,29.7941517141915,49500,42180,4,LD,2.2345613785643623,13
2026-08-07,B32-86,29.7941517141915,50940,43980,4,LD,2.2345613785643623,14
2026-08-07,B32-87,29.7941517141915,53100,45420,4,LD,2.2345613785643623,14
2026-08-07,B32-88,52.00749817189208,62880,48360,7,LD,3.9005623628919057,17
2026-08-07,B32-89,41.81582637453994,60540,49020,6,LD,3.136186978090495,16
2026-08-07,B33-90,276.64309969035344,77400,19440,30,HD,29.04752546748711,21
2026-08-07,B33-91,129.36265596553986,76200,43740,16,MD,11.642639036898586,21
2026-08-07,B33-92,71.93372469525114,34680,21000,8,LD,5.395029352143836,9
2026-08-07,B34-100,66.50928111585426,79200,65880,8,LD,4.988196083689069,22
2026-08-07,B34-101,49.8819608368907,80280,71460,6,LD,3.741147062766802,22
2026-08-07,B34-102,47.79448132515252,91920,80520,7,LD,3.584586099386439,1
2026-08-07,B34-103,58.179812422186274,48300,36480,6,LD,4.363485931663971,13
2026-08-07,B34-93,64.20283921196759,32880,19860,8,LD,4.815212940897569,9
2026-08-07,B34-94,94.57318840817796,40980,20880,12,LD,7.092989130613346,11
2026-08-07,B34-95,92.0838178326519,39420,20820,8,LD,6.9062863374488925,10
2026-08-07,B34-96,78.44647418443073,68520,49680,8,LD,5.883485563832305,19
2026-08-07,B34-97,80.74190114708696,71940,51300,9,LD,6.055642586031522,19
2026-08-07,B34-98,84.55216374147926,70200,49500,10,LD,6.341412280610944,19
2026-08-07,B34-99,68.2566843824826,70620,53820,8,LD,5.119251328686195,19
2026-08-07,B34E-187,101.39034276870814,35820,16500,10,LD,7.60427570765311,9
2026-08-07,B34E-188,89.01659779929577,31080,17340,4,LD,6.676244834947182,8
2026-08-07,B34E-189,61.46293927156664,43380,28200,6,LD,4.609720445367498,12
2026-08-07,B34E-190,77.76293945757502,42960,28200,6,LD,5.832220459318126,11
2026-08-07,B34E-191,108.05474606894782,38280,17880,10,LD,8.104105955171086,10
2026-08-07,B34E-192,89.01659779929577,32520,18420,4,LD,6.676244834947182,9
2026-08-07,B34E-193,44.50829889964788,29640,22680,2,LD,3.338122417473591,8
2026-08-07,B34E-194,103.33747617437265,37380,18900,6,LD,7.7503107130779485,10
2026-08-07,B34E-195,58.28461222854062,34020,23400,4,LD,4.371345917140546,9
